variable,Mean,Std,Skewness,Kurtosis,10%,25%,50%,75%,90%
ofi_level_00,42337.05,982176.63,26.91,1975.91,-17066.2,283.12,3064.5,16273.34,66136.28
ofi_level_01,69427.63,704509.02,22.79,1549.64,-17736.31,-1589.3,2410.9,22748.56,100664.75
ofi_level_02,66927.1,700793.9,-5.13,876.17,-21203.1,-2355.32,2107.05,23743.55,110821.71
ofi_level_03,74854.04,528055.31,10.44,283.94,-26823.49,-3779.04,1342.52,22936.01,115927.51
ofi_level_04,79848.26,536810.75,13.1,311.13,-24984.96,-2888.99,2217.89,25404.28,127358.08
ofi_level_05,76732.83,686340.01,5.8,873.18,-29443.54,-3831.21,1652.66,25063.93,130090.72
ofi_level_06,63401.95,802729.08,-32.48,2991.16,-37792.46,-4865.64,1438.46,23998.08,131281.65
ofi_level_07,76883.91,598968.22,16.93,594.91,-35800.8,-5046.86,1364.42,22757.19,126305.27
ofi_level_08,82867.51,662711.31,19.23,587.09,-39324.25,-5683.69,1331.01,24062.62,130686.65
ofi_level_09,75726.49,709903.65,-5.08,1218.71,-41632.2,-7298.61,984.0,22921.44,126855.9
integrated_ofi,75325.02,608576.38,3.72,606.75,-13793.47,-1411.86,763.27,15275.53,109242.95
